date time, L, E0 equiv, E1 equiv, E2 equiv, P6 equiv
2018-12-31 07:23:33.048000, 36.15, nan, nan, nan, nan
2018-12-31 07:23:34.048000, 37.12, nan, nan, nan, nan
2018-12-31 07:23:35.048000, 38.14, nan, nan, nan, nan
2018-12-31 07:23:36.048000, 39.19, nan, nan, nan, nan
2018-12-31 07:23:37.048000, 40.3, nan, nan, nan, nan
2018-12-31 07:23:38.048000, 41.45, nan, nan, nan, nan
2018-12-31 07:23:39.048000, 42.68, nan, nan, nan, nan
2018-12-31 07:23:40.048000, 43.97, nan, nan, nan, nan
2018-12-31 07:23:41.048000, 45.36, nan, nan, nan, nan
2018-12-31 07:23:42.048000, 46.83, nan, nan, nan, nan
2018-12-31 07:23:43.048000, 48.42, nan, nan, nan, nan
2018-12-31 07:23:44.048000, 50.12, nan, nan, nan, nan
2018-12-31 07:23:45.048000, 51.96, nan, nan, nan, nan
2018-12-31 07:23:46.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:47.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:48.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:49.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:50.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:51.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:52.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:53.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:54.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:55.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:56.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:57.048000, 1e+31, nan, nan, nan, nan
2018-12-31 07:23:58.048000, 1e+31, nan, nan, nan, nan
